id,name,district,cluster,category,setting,best_months,cost_per_day,entry_fee,min_days,rating,crowd,nearest_hub,tags,description,image
19,Dhanaulti Eco Park,Tehri,rishikesh_corridor,hill_station,outdoor,"3,4,5,6,9,10,11,12",1100,50,1,4.3,low,Dhanaulti,deodar;quiet;adventure-park,"Quiet deodar forest ridge at 2286 m with eco park zip lines and Surkanda Devi temple nearby.",chopta.jpg
20,Tehri Lake Water Sports,Tehri,rishikesh_corridor,adventure,outdoor,"2,3,4,5,6,9,10,11",1600,1200,1,4.4,medium,New Tehri,jetski;boating;lake,"42 sq km reservoir of Tehri dam offering jet ski, banana boat rides and floating huts.",nainital.jpg
21,Naini Lake Boating,Nainital,kumaon_lakes,lake,outdoor,"3,4,5,6,9,10,11",1300,210,1,4.6,high,Nainital,boating;lake;mall-road,"Emerald mountain lake at the centre of Nainital, best enjoyed on a wooden row boat at sunrise.",nainital.jpg
22,Naina Devi Temple,Nainital,kumaon_lakes,pilgrimage,mixed,"1,2,3,4,5,6,9,10,11,12",900,0,1,4.6,high,Nainital,shaktipeeth;temple,"Shakti Peeth on the northern shore of Naini lake, rebuilt after the 1880 landslide.",nainital.jpg
23,Snow View Point Ropeway,Nainital,kumaon_lakes,hill_station,mixed,"3,4,5,6,10,11,12",1200,300,1,4.4,high,Nainital,ropeway;himalaya-view,"Aerial ropeway to 2270 m viewpoint showing Nanda Devi and Trishul on clear mornings.",auli.jpg
24,Tiffin Top Trek,Nainital,kumaon_lakes,trek,outdoor,"3,4,5,6,9,10,11",900,0,1,4.4,medium,Nainital,short-trek;viewpoint,"4 km forest walk to Dorothy Seat with views over the lake town and the Himalaya.",chopta.jpg
25,Eco Cave Gardens,Nainital,kumaon_lakes,nature,mixed,"3,4,5,6,9,10,11",900,100,1,4.1,medium,Nainital,caves;family,"Network of six natural caves shaped like animals, popular with families and children.",nainital.jpg
26,Bhimtal Lake,Nainital,kumaon_lakes,lake,outdoor,"3,4,5,6,9,10,11",1100,150,1,4.4,medium,Bhimtal,island;paragliding;lake,"Larger and calmer than Naini lake with an island aquarium and nearby paragliding at Naukuchiatal.",nainital.jpg
27,Naukuchiatal Paragliding,Nainital,kumaon_lakes,adventure,outdoor,"3,4,5,6,10,11",1800,1800,1,4.6,medium,Bhimtal,paragliding;lake,"Tandem paragliding over the nine cornered lake, one of the best flying sites in Kumaon.",auli.jpg
28,Mukteshwar Dhar,Nainital,kumaon_lakes,hill_station,outdoor,"3,4,5,6,9,10,11,12",1200,0,1,4.6,low,Mukteshwar,orchards;cliff;temple,"Apple orchard village at 2286 m with Chauli ki Jali cliff, rappelling and a 350 year old Shiva temple.",chopta.jpg
29,Jim Corbett Safari Bijrani,Nainital,kumaon_lakes,wildlife,outdoor,"2,3,4,5,6,11,12",2200,4500,2,4.7,high,Ramnagar,tiger;safari;jeep,"Jeep safari in the Bijrani and Garjiya zones of India's oldest national park, famous for Bengal tigers.",corbett.jpg
30,Corbett Dhikala Zone,Nainital,kumaon_lakes,wildlife,outdoor,"2,3,4,5,11,12",2600,7000,2,4.8,medium,Ramnagar,tiger;elephant;grassland,"Core grassland zone of Corbett with forest rest houses inside the reserve. Day visits by canter bus.",corbett.jpg
31,Garjiya Devi Temple,Nainital,kumaon_lakes,pilgrimage,outdoor,"1,2,3,4,5,6,10,11,12",900,0,1,4.5,medium,Ramnagar,temple;river-rock,"Temple perched on a large rock in the Kosi river near the Corbett buffer forest.",corbett.jpg
32,Kausani Sunrise Point,Bageshwar,kumaon_lakes,hill_station,outdoor,"3,4,5,6,9,10,11,12",1100,0,1,4.6,low,Kausani,sunrise;nanda-devi;tea-garden,"Gandhi called it the Switzerland of India. 300 km wide Himalayan panorama and tea gardens.",chopta.jpg
33,Ranikhet Golf Course,Almora,kumaon_lakes,hill_station,outdoor,"3,4,5,6,9,10,11",1100,0,1,4.4,low,Ranikhet,meadow;pine;cantonment,"One of the highest golf courses in Asia surrounded by pine forest in the quiet cantonment town.",chopta.jpg
34,Kasar Devi Temple Ridge,Almora,kumaon_lakes,pilgrimage,outdoor,"3,4,5,6,9,10,11,12",1000,0,1,4.5,low,Almora,temple;energy-zone;hippie,"2nd century temple ridge known for its geomagnetic field, visited by Swami Vivekananda and Bob Dylan era travellers.",kedarnath.jpg
35,Jageshwar Dham,Almora,kumaon_lakes,heritage,outdoor,"3,4,5,6,9,10,11",1000,0,1,4.7,low,Almora,temple-complex;deodar;archaeology,"Cluster of 124 ancient stone temples from the 7th to 14th century set in a deodar grove.",kedarnath.jpg
36,Chopta Tungnath Trek,Rudraprayag,chardham_garhwal,trek,outdoor,"3,4,5,6,9,10,11",1400,0,2,4.8,medium,Chopta,trek;highest-shiva-temple;meadow,"3.5 km trek from Chopta meadows to Tungnath, the highest Shiva temple, and 1.5 km further to Chandrashila summit.",chopta.jpg
37,Deoria Tal,Rudraprayag,chardham_garhwal,trek,outdoor,"3,4,5,6,9,10,11",1200,150,1,4.7,low,Chopta,lake;reflection;camping,"Emerald lake at 2438 m reflecting Chaukhamba peaks, reached by a 2.5 km trek from Sari village.",valley_of_flowers.jpg
38,Auli Ropeway and Slopes,Chamoli,chardham_garhwal,adventure,outdoor,"1,2,3,6,9,10,11,12",2000,1000,2,4.7,medium,Joshimath,skiing;ropeway;meadow,"Premier ski resort of India at 2800 m with one of Asia's longest ropeways from Joshimath and views of Nanda Devi.",auli.jpg
39,Valley of Flowers Trek,Chamoli,chardham_garhwal,trek,outdoor,"7,8,9",1800,200,3,4.9,medium,Govindghat,unesco;alpine-flowers;trek,"UNESCO World Heritage alpine valley that blooms with over 500 flower species between July and September.",valley_of_flowers.jpg
40,Hemkund Sahib,Chamoli,chardham_garhwal,pilgrimage,outdoor,"6,7,8,9",1600,0,2,4.8,medium,Govindghat,gurudwara;glacial-lake;trek,"Highest gurudwara in the world at 4329 m beside a glacial lake, reached by a steep 6 km trek from Ghangaria.",valley_of_flowers.jpg
41,Gangotri Temple,Uttarkashi,chardham_garhwal,pilgrimage,outdoor,"5,6,9,10",1500,0,2,4.8,medium,Uttarkashi,chardham;ganga-origin,"Origin shrine of the Ganga at 3100 m. Gaumukh glacier trek starts from here.",badrinath.jpg
42,Yamunotri Temple,Uttarkashi,chardham_garhwal,pilgrimage,outdoor,"5,6,9,10",1500,0,2,4.7,medium,Barkot,chardham;hot-spring;trek,"Source shrine of the Yamuna reached by a 6 km trek from Janki Chatti, with Surya Kund hot spring.",badrinath.jpg
43,Harsil Valley,Uttarkashi,chardham_garhwal,hill_station,outdoor,"3,4,5,6,9,10,11",1400,0,2,4.7,low,Uttarkashi,apple-village;bhagirathi;offbeat,"Untouched apple growing valley on the Bhagirathi at 2620 m, base for Sattal and Gartang Gali walks.",chopta.jpg
44,Rishikesh Camping Shivpuri,Rishikesh,rishikesh_corridor,camping,outdoor,"2,3,4,5,10,11,12",1600,1400,1,4.5,medium,Rishikesh,riverside;bonfire;camping,"Riverside camps at Shivpuri with rafting combos, bonfire and beach volleyball.",rishikesh.jpg
45,Munsiyari Khaliya Top,Pithoragarh,high_kumaon,trek,outdoor,"3,4,5,6,9,10,11",1500,0,3,4.8,low,Munsiyari,panchachuli;meadow;offbeat,"Meadow trek above Munsiyari with close range views of the five Panchachuli peaks.",chopta.jpg
46,Patal Bhuvaneshwar Cave,Pithoragarh,high_kumaon,pilgrimage,indoor,"1,2,3,4,5,6,9,10,11,12",1200,0,2,4.7,low,Gangolihat,limestone-cave;mythology,"90 m deep limestone cave temple complex describing Hindu cosmology in rock formations.",kedarnath.jpg
47,Chaukori Tea Gardens,Pithoragarh,high_kumaon,hill_station,outdoor,"3,4,5,6,9,10,11,12",1100,0,2,4.6,low,Berinag,tea;sunrise;offbeat,"Tiny ridge top hamlet with tea gardens facing a wall of snow peaks from Nanda Devi to Panchachuli.",chopta.jpg
48,Rajaji National Park Safari,Haridwar,rishikesh_corridor,wildlife,outdoor,"2,3,4,5,11,12",1900,3200,1,4.5,medium,Haridwar,elephant;safari;chilla,"Jeep safari in the Chilla zone known for wild elephants, leopards and 300 plus bird species.",corbett.jpg
49,Lakhamandal Temple,Dehradun,rishikesh_corridor,heritage,outdoor,"3,4,5,6,9,10,11",1000,0,1,4.4,low,Chakrata,mahabharata;archaeology,"Ancient Shiva temple complex linked to the Mahabharata lacquer house legend, on the Yamuna valley route.",kedarnath.jpg
50,Chakrata Tiger Falls,Dehradun,rishikesh_corridor,nature,outdoor,"3,4,5,6,9,10,11",1100,50,2,4.5,low,Chakrata,waterfall;offbeat;forest,"98 m waterfall inside deodar forest, one of the highest direct falls in Uttarakhand.",valley_of_flowers.jpg
